2001-01-01,Coca-Cola,Beverages,68945
2001-01-01,Microsoft,Technology,65068
2001-01-01,IBM,Business Services,52752
2001-01-01,GE,Diversified,42396
2001-01-01,Nokia,Technology,35035
2001-01-01,Intel,Technology,34665
2001-01-01,Disney,Media,32591
2001-01-01,Ford,Automotive,30092
2001-01-01,McDonald's,Restaurants,25289
2001-01-01,AT&T,Telecommunications,22828
2001-01-01,Marlboro,Tobacco,22053
2001-01-01,Mercedes-Benz,Automotive,21728
2001-01-01,Citi,Financial Services,19005
2001-01-01,Toyota,Automotive,18578
2001-01-01,HP,Electronics,17983
2001-01-01,Cisco,Business Services,17209
2001-01-01,American Express,Financial Services,16919
2001-01-01,Gillette,FMCG,15298
2001-01-01,Merrill Lynch,Financial Services,15015
2001-01-01,Sony,Electronics,15005
2001-01-01,Honda,Automotive,14638
2001-01-01,BMW,Automotive,13858
2001-01-01,NESCAFÉ,Beverages,13250
2001-01-01,Compaq,Technology,12354
2001-01-01,Oracle,Business Services,12224
2001-01-01,Budweiser,Alcohol,10838
2001-01-01,Kodak,Electronics,10801
2001-01-01,"Merck & Co., Inc.",Pharmaceuticals,9672
2001-01-01,Nintendo,Electronics,9460
2001-01-01,Pfizer,Pharmaceuticals,8951
2001-01-01,Gap,Apparel,8746
2001-01-01,Dell,Electronics,8269
2001-01-01,Goldman Sachs,Financial Services,7862
2001-01-01,Nike,Sporting Goods,7589
2001-01-01,Volkswagen,Automotive,7338
2001-01-01,Ericsson,Electronics,7069
2001-01-01,Heinz,FMCG,7062
2001-01-01,Louis Vuitton,Luxury,7053
2001-01-01,Kellogg's,FMCG,7005
2001-01-01,MTV,Media,6599
2001-01-01,Canon,Electronics,6580
2001-01-01,Samsung,Technology,6374
2001-01-01,SAP,Business Services,6307
2001-01-01,Pepsi,Beverages,6214
2001-01-01,Xerox,Business Services,6019
2001-01-01,IKEA,Retail,6005
2001-01-01,Pizza Hut,Restaurants,5978
2001-01-01,Harley-Davidson,Automotive,5532
2001-01-01,Apple,Technology,5464
2001-01-01,Gucci,Luxury,5363
2001-01-01,KFC,Restaurants,5261
2001-01-01,Reuters,Media,5236
2001-01-01,Sun Microsystems,Business Services,5149
2001-01-01,Kleenex,FMCG,5085
2001-01-01,Philips,Electronics,4900
2001-01-01,Colgate,FMCG,4572
2001-01-01,Wrigley,FMCG,4530
2001-01-01,AOL,Media,4495
2001-01-01,Yahoo!,Media,4378
2001-01-01,Avon,FMCG,4369
2001-01-01,Chanel,Luxury,4265
2001-01-01,Duracell,FMCG,4140
2001-01-01,Boeing,Diversified,4060
2001-01-01,Texas Instruments,Technology,4041
2001-01-01,Kraft,FMCG,4032
2001-01-01,Motorola,Electronics,3761
2001-01-01,Levi's,Apparel,3747
2001-01-01,Time,Media,3724
2001-01-01,Rolex,Luxury,3701
2001-01-01,adidas,Sporting Goods,3650
2001-01-01,Hertz,Automotive,3617
2001-01-01,Panasonic,Electronics,3490
2001-01-01,Tiffany & Co.,Luxury,3483
2001-01-01,BP,Energy,3247
2001-01-01,Bacardi,Alcohol,3204
2001-01-01,Amazon,Technology,3130
2001-01-01,Shell,Energy,2844
2001-01-01,Smirnoff,Alcohol,2594
2001-01-01,Moët & Chandon,Alcohol,2470
2001-01-01,Burger King,Restaurants,2426
2001-01-01,Mobil,Energy,2415
2001-01-01,Heineken,Alcohol,2266
2001-01-01,Wall Street Journal,Media,2184
2001-01-01,Barbie,Toys & Games,2037
2001-01-01,Ralph Lauren,Apparel,1910
2001-01-01,FedEx,Logistics,1885
2001-01-01,Nivea,FMCG,1782
2001-01-01,Starbucks,Restaurants,1757
2001-01-01,Johnnie Walker,Alcohol,1649
2001-01-01,Jack Daniel's,Alcohol,1583
2001-01-01,Armani,Luxury,1490
2001-01-01,Pampers,FMCG,1410
2001-01-01,Absolut,Alcohol,1378
2001-01-01,Guinness,Alcohol,1357
2001-01-01,Financial Times,Media,1310
2001-01-01,Hilton,Hospitality,1235
2001-01-01,Carlsberg,Alcohol,1075
2001-01-01,Siemens,Diversified,1029
2001-01-01,Swatch,FMCG,1004
2001-01-01,Benetton,Apparel,1002
